127.0.0.1 - - [13/Oct/2016:11:12:42 +0300] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/ HTTP/1.1" 200 4093
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/js/plugins/jquery/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/css/theme-default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/js/plugins/jquery/jquery-ui.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/js/plugins/mcustomscrollbar/jquery.mCustomScrollbar.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/js/plugins/icheck/icheck.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/js/plugins/bootstrap/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/js/plugins/noty/jquery.noty.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/js/plugins/noty/layouts/topCenter.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/js/plugins/noty/layouts/topLeft.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/js/plugins/noty/layouts/topRight.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/js/plugins/noty/themes/default.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/js/plugins.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/js/actions.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/css/jquery/jquery-ui.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/css/bootstrap/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/css/codemirror/codemirror.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/css/summernote/summernote.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/css/nvd3/nv.d3.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/css/mcustomscrollbar/jquery.mCustomScrollbar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/css/blueimp/blueimp-gallery.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/css/dropzone/dropzone.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/css/fullcalendar/fullcalendar.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/css/animate/animate.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/css/rickshaw/rickshaw.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/audio/fail.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/audio/alert.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/img/bg.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:36 +0300] "GET /app/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:44 +0300] "POST /app/WebAuthEndpoint HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/home.jsp HTTP/1.1" 200 27515
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/profile1.jpg HTTP/1.1" 200 27826
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/pacient1.jpg HTTP/1.1" 200 25519
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/pacient2.jpg HTTP/1.1" 200 8295
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/morris/raphael-min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/scrolltotop/scrolltopcontrol.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/morris/morris.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/rickshaw/rickshaw.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/rickshaw/d3.v3.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/jvectormap/jquery-jvectormap-1.2.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/jvectormap/jquery-jvectormap-world-mill-en.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/bootstrap/bootstrap-datepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/moment.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/owl/owl.carousel.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/daterangepicker/daterangepicker.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/tour/bootstrap-tour.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/plugins/tour/bootstro.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/settings.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:45 +0300] "GET /app/js/demo_dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:46 +0300] "GET /app/img/themes/default.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:46 +0300] "GET /app/img/themes/forest.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:46 +0300] "GET /app/img/themes/night.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:46 +0300] "GET /app/img/themes/serenity.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:46 +0300] "GET /app/img/themes/dark.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:46 +0300] "GET /app/img/themes/default-head-light.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:46 +0300] "GET /app/img/themes/forest-head-light.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:46 +0300] "GET /app/img/themes/dark-head-light.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:46 +0300] "GET /app/img/themes/night-head-light.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:46 +0300] "GET /app/img/themes/serenity-head-light.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:46 +0300] "GET /app/img/icheck/grey.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:52 +0300] "GET /app/pacient.jsp?id=2 HTTP/1.1" 200 17645
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:52 +0300] "GET /app/profile1.jpg HTTP/1.1" 200 27826
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:52 +0300] "GET /app/assets/images/gallery/nature-6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:52 +0300] "GET /app/pacient1.jpg HTTP/1.1" 200 25519
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:52 +0300] "GET /app/pacient2.jpg HTTP/1.1" 200 8295
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:52 +0300] "GET /app/js/plugins/blueimp/jquery.blueimp-gallery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:52 +0300] "GET /app/assets/images/gallery/music-4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:57 +0300] "GET /app/pacient.jsp?id=1 HTTP/1.1" 200 21497
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:57 +0300] "GET /app/profile1.jpg HTTP/1.1" 200 27826
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:57 +0300] "GET /app/pacient2.jpg HTTP/1.1" 200 8295
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:13:57 +0300] "GET /app/pacient1.jpg HTTP/1.1" 200 25519
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:02 +0300] "GET /app/pacient.jsp?id=2 HTTP/1.1" 200 17685
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:02 +0300] "GET /app/profile1.jpg HTTP/1.1" 200 27826
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:03 +0300] "GET /app/pacient2.jpg HTTP/1.1" 200 8295
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:03 +0300] "GET /app/pacient1.jpg HTTP/1.1" 200 25519
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:23 +0300] "GET /app/pacient.jsp?id=2 HTTP/1.1" 200 17685
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:23 +0300] "GET /app/css/theme-default.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:23 +0300] "GET /app/profile1.jpg HTTP/1.1" 200 27826
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:23 +0300] "GET /app/pacient2.jpg HTTP/1.1" 200 8295
0:0:0:0:0:0:0:1 - - [13/Oct/2016:11:14:23 +0300] "GET /app/pacient1.jpg HTTP/1.1" 200 25519
